STANDARD,10ST,20ST,fast,slow,reverse
1.695634229,-16.3836275,-5.076923264,-1.281935786,-0.246608382,-8.422102129
8.414059733,-6.115577835,-2.83560104,7.496509187,-1.598175878,0.827883898
4.197536865,-0.512908457,-1.951179674,9.374676724,3.588874931,2.107625217
16.27165312,2.964404747,-0.090555601,23.03620611,7.989419037,7.580199257
1.636706899,1.462687258,0.960493689,12.44067907,-0.090427808,8.376133267
5.512431361,4.83112435,-0.730958315,10.06875297,3.129762084,7.987712292
46.18912845,3.219954077,-7.1169004,21.51726093,130.6175764,74.16496861
8.295654765,11.53908867,2.912298974,9.875223795,9.702386066,5.368876638
7.645800148,10.95378603,-3.693622388,23.21253442,9.02888356,7.059958173
47.45103548,16.02592981,44.12534377,13.71554833,25.27726467,41.20331631
-1.570713822,2.902605023,-1.318203451,9.027373683,4.195532749,6.915246448
0.225761705,6.676236476,0.023351583,23.61648922,12.23139737,11.60491427
-2.580372242,0.964544865,-4.704036581,10.7690476,0.753221425,7.092892114
15.79948399,5.237414943,6.563814466,31.16466319,11.59590196,25.89901824
9.28492545,8.951486669,1.788199048,8.772053943,3.730950065,4.457943258
4.738726011,12.84268229,-0.504724863,6.304885602,2.224541064,1.259589184
11.17747778,139.5336972,11.3762511,39.39394045,4.002494081,4.721801762
-2.565986177,-0.477268947,0.535135756,7.693140045,4.196638177,-2.702219362
5.552131668,4.315026014,2.50590069,6.057116774,5.306688397,2.447509955
3.415832676,4.689466301,-2.89756739,14.18603373,4.665175337,2.358349917
1.884106027,1.397630778,-2.839901893,3.812638642,2.004073739,3.730802482
6.233007219,0.418593081,2.857312197,10.98873084,1.960027234,1.156171985
2.735683728,-5.720919953,31.53182961,17.48277192,7.412038319,-5.931897908
5.949536746,3.925700102,0.726622872,6.480650216,3.941632892,-2.050394484
8.371065404,12.07548876,8.887671235,11.66090349,4.879389019,4.579581678
-1.801741309,6.631902022,2.940296053,8.10330108,4.255031311,7.840131
1.359149978,4.776515164,3.894894131,8.057649808,2.518853624,-0.177131297
-0.298581818,3.407530915,-1.065406965,5.8847188,0.365413182,-0.263883568
-6.509721586,-5.827878486,-17.01231112,5.371205868,3.156315393,-4.780351246
3.82449666,-2.325156086,0.934853941,6.447400079,2.198816242,-0.941975881
56.03134511,7.287925917,78.34917748,40.42127717,-4.049003308,36.77386275
2.254771656,2.332318285,6.798611501,14.49856287,4.094744783,4.865182899
6.18837089,-0.783446732,-0.9518437,6.072422562,3.470960554,1.869426457
39.15069113,-5.940945318,7.636883627,42.80696551,5.610945905,10.87686345
45.29392822,11.31351036,-2.321585656,53.51569197,14.16199989,40.59806637
300.6477029,64.31827814,-0.842271464,301.0233342,76.72297361,200.3423322
12.43897559,5.573460681,-2.753266597,3.666259058,6.403664905,5.901911436
14.98471221,8.867316118,0.216391555,10.85018745,1.561967994,16.16099543
16.36009674,8.150846856,6.631902738,13.60597403,-0.668603198,12.91234883
29.31130619,3.278386229,-0.100820633,32.33842437,3.089067538,32.42596409
15.82255456,43.33087521,14.44224534,10.85482721,1.148341866,21.26386305
338.9724179,4.103145759,2.898916458,70.45085824,17.32154607,332.6584953
326.2237567,4.287514424,3.90486266,94.86697084,99.97090413,241.6438715
22.90496409,11.22216711,0.911886879,20.10622408,5.805984417,14.04357469
14.34117374,9.727535557,0.785545321,-9.462737114,7.885222051,15.04503898
9.458074415,4.865879439,1.146657801,4.49899682,1.877684772,9.301282025
16.94157553,19.13070004,201.1137188,5.806998593,4.705741705,32.3695757
13.53141058,6.356822523,5.392149217,8.753614596,3.150474637,11.98899191
5.620546099,3.538665225,-1.813797231,1.984397584,1.678555062,2.257804159
2.837508644,9.250045324,0.194341997,4.321047389,2.091017824,4.150359136
177.1766636,34.30756819,9.55453925,146.5765736,7.755915493,98.63963593
15.90573432,6.041054532,4.074811657,14.19368192,6.233068169,14.40040728
9.769813526,2.926246956,-0.722251363,4.725817845,-1.127837138,8.343263068
61.21440875,10.85268717,1.433372939,19.97219658,17.96327903,35.98777787
9.709402882,9.216313459,-0.08135645,10.34591467,13.52783822,7.065467681
26.48978741,13.12465424,-1.691963847,11.27783204,7.238605945,16.03258668
16.31179902,9.152276815,-4.252561273,11.5491586,6.403004001,14.42079094
71.01357093,14.77998147,17.42511342,60.56536467,32.87245549,106.0627871
28.62957016,32.46666463,51.7663274,19.79003663,5.409148234,17.47071543
17.04012083,11.86585866,5.495470197,15.26220231,8.190438969,14.46457506
4.496568685,-6.992381973,-12.64496029,24.98247919,25.06889037,-7.082213962
8.893449785,7.044144865,-0.094760899,14.85720875,7.903388201,16.98912979
10.68775931,3.396545785,12.80214553,8.185558707,7.732579173,10.36561094
