Cell #,P1.1B,P2.1D,P3.2F,8.1b,5.1F,7.1B,3.1b,8.2b,9.1D,FAST 3B,FAST 7b,FAST 8b,8B SLOW,7b slow,7B: -10 ST,7B: -20 ST,7B: +5 ST,8b: -10 ST,8b: -20 ST,8b: +5 ST,FM DWN 2hz,FM DWN 5hz,FM DWN 10hz
1,36.3910088414,-1.7692534796,2.8328096242,16.1258277174,6.3356076483,31.7558389244,3.8937081108,19.614398062,18.2408105515,0.0957750873,17.302125995,8.2603635262,15.1387589832,33.8248700636,14.5123564526,3.4472419037,4.5624954309,23.4612450557,16.9949588727,8.6315823764,14.9286378387,18.6864395743,5.9816439068
2,26.2686516402,1.653790606,3.8243257769,26.7197093833,3.6093241015,32.5456830254,3.9313185777,10.6126972857,12.8849324798,-1.2019090408,18.2953742894,9.9505810276,32.0969473968,22.97644344,29.4743461557,10.4923171944,5.6154570026,46.0380448071,16.2534596819,9.009856009,21.3531665329,32.0417283324,18.4682079349
3,25.7426811695,1.2132595251,21.2805766832,22.1612883608,13.5430081735,12.6299268308,0.2995057168,5.1162895457,9.8943907096,14.4934874648,23.5865163206,-5.6917800707,13.9000236261,20.7747376161,24.4721521988,4.4394788978,9.5312352725,29.9661001358,9.8207008497,2.763369795,35.6479845916,38.5306515747,26.7865553054
4,19.3825705647,1.7827567085,-0.2423658428,18.8109300774,3.9510403269,33.3189182694,0.5932580183,13.8813008605,5.5861423559,-2.759440279,21.2728548065,0.6011927339,13.3577866121,17.5040629789,6.6417791381,11.836548066,1.3802003516,14.3602411377,22.5925870474,4.0949769056,15.5099477832,18.8848057734,8.1220627124
5,36.0639062592,0.1997562387,-4.9034746981,21.7330126819,6.5021453865,35.7666768126,-0.5015250294,13.6351358973,34.7004489648,1.8680697069,22.9922611523,12.7203313521,29.0674487194,22.4430340638,21.5331129591,15.2835830476,1.3794314853,18.1786983584,14.82804949,4.2994507897,9.6787410255,17.920099154,15.5765948244
6,26.7124000835,-4.0711371223,-3.9755365866,80.4312864768,6.3058778648,23.6548703651,-6.37712486,6.6371468329,10.595528978,,,,,,15.20990951,20.0159160981,-2.8996745255,17.4004392909,18.9818664,11.5590969899,,13.6563551162,
7,30.0583533048,4.9605333092,-1.2379378171,5.3192029631,4.5661931408,28.0232456988,-3.60941371,14.8397468991,12.8804975459,1.8508665673,27.7337455868,12.2926590364,7.3753859601,13.8155071925,11.1371417518,34.004719702,-12.3315843909,13.6660659513,18.6627596073,7.6302205877,24.7686367306,,20.4164657372
8,26.2066008006,4.5739846176,3.1471696163,11.4043599112,7.2786701395,32.364796072,-3.0742871672,9.1143811977,17.1802907565,6.6052849584,20.0334042414,7.61267326,17.4518769895,26.4020996276,11.1292273144,14.1092847007,-1.8698136315,12.5254507956,20.6025364028,7.8875650691,8.8773952396,20.3983955576,9.2435481035
9,37.1960530954,-1.0024633245,4.6304836231,18.5296452635,0.3463497165,31.4340567036,-5.283451812,13.9432380938,4.7198686136,1.2474920383,20.250719167,3.067124068,18.5709004744,23.6236794892,16.6714399503,16.772517222,1.5467520689,26.9889559115,15.7476246781,11.6798468484,23.2522625237,34.3201637986,20.5557560129
10,31.692076528,-0.461629462,1.6564637964,4.8224728387,3.8378210776,37.8319411059,-0.2717123167,21.1155846224,2.7519835591,6.0519366017,9.5544687612,7.2546824535,18.0144679612,27.1087669784,13.0100626188,168.2823188295,-10.3306694759,9.8316422702,41.8958241623,8.2953008228,16.2238139534,23.6302514885,19.1349939398
11,91.5872619218,2.491729778,5.4357188257,35.7407635299,16.5538813588,34.1265910947,0.071386929,21.0666130896,19.0084488812,-3.0595563794,22.0401170798,7.8337647985,24.5467620007,27.6700918587,42.0291808335,23.2286407533,-0.8423600967,43.8688704599,7.6554647958,3.0677262123,13.3181785743,17.5578931675,14.847502308
12,33.5171281074,6.4501333274,-0.360662189,13.0478743556,6.7072549563,42.7874919586,-2.4210203716,12.49084078,10.6954473322,-2.3802508027,22.1876273792,9.9537091457,16.878641251,25.7854912689,19.2206735397,45.0294657988,-1.1406314298,26.9317785542,23.8728944021,3.1088943341,37.2232854139,32.0917901516,17.4848503009
13,23.115667021,6.4362368699,-7.2082408827,15.1089384521,1.242895528,22.4849688329,-0.8688220124,8.1804453979,10.2204099701,-6.8258920669,19.414945685,4.6184526793,32.6691232358,22.5139062964,6.9343426442,9.8721687788,1.8605741221,13.6683794508,14.08479983,9.0710429416,17.679045819,18.3882008395,18.3799759989
14,19.6651620865,-5.5986210472,-9.1278221263,23.6924928226,13.3322115193,21.9151018824,-2.7689718872,15.0275044669,7.5793218321,-3.6391847038,13.8532343993,10.1148600161,12.979681228,29.9997211034,3.8285441869,12.1113933549,-4.3079332253,18.7140671888,8.3366511458,5.4548794813,15.6300441519,26.4298550644,18.1636127966
15,18.4735076422,0.5053680248,7.7599503713,12.2005857879,7.6393034519,23.9332265091,-8.282359935,8.620764621,13.6752758838,-1.6949609323,23.1690864326,4.2471238969,,11.1738654844,16.1393594756,19.4613061293,9.3696859351,34.3105683549,24.6057119266,6.7325404749,8.4662692326,18.5123277776,4.0481176277
16,28.1654165493,3.8937092741,-1.5156521268,9.0213059499,2.7398716175,17.3093674727,-9.5631982834,4.577736541,4.7118040984,13.3173294911,10.2016875413,-0.9909566883,,17.5680597894,5.6110390989,34.5531264167,14.6013550202,27.4767949399,5.0918394273,9.3991495815,30.9551285579,17.6747528913,6.4348538069
17,25.1697617223,1.7517465383,7.3175454715,15.1720484887,5.8402698652,25.7809478324,5.4807926501,6.2071569067,12.0607201028,2.632503467,10.7431291603,6.8360719613,11.0814850414,14.317685452,111.2732641613,47.6252584566,-0.6954191069,19.6499226161,5.6366626987,5.5546415315,,,
18,29.2415649293,4.0351167153,11.7312961188,28.9048415125,6.5300781252,28.8956350914,-0.4943242229,17.5916134972,12.2279481408,-6.4883472752,6.1188056874,12.2009433016,27.5188909179,30.2253642749,22.026981327,7.9314797893,-3.4507478834,4.480972458,12.0303631837,5.1957771544,18.6406152734,10.6791919651,11.4181233757
19,28.5107585323,-3.0123966141,1.2470334082,16.0091813605,2.5828550291,21.512846223,-0.7362750585,14.5460764292,6.7306013956,-0.4964168185,21.7828345532,15.2184460022,12.9636597396,21.1461186213,18.1081423196,7.0791427976,-4.7674122554,21.2496432433,72.4601908244,4.1563832219,20.5731785576,18.4413767175,13.8189971651
20,25.4616662621,-2.0456141669,0.272582867,15.0215024442,-1.1706901126,7.3189836983,5.7242840147,5.31621955,-0.424051377,-5.4182931055,20.6811523689,8.5811301942,19.5147402834,22.0135629256,8.9052474649,15.5339584087,-7.4828921017,3.8968302094,33.3296808006,6.0788855828,13.4165716569,28.6023985008,18.1411006072
